code,total_return,win_rate,trades,final_equity
159206.SZ,0.11506800000000003,1.0,2,111506.8
515030.SH,0.06932050000000003,1.0,1,106932.05
159939.SZ,0.031445,0.6666666666666666,3,103144.5
159326.SZ,0.019091571428571624,0.4,5,101909.15714285716
518880.SH,-0.012041999999999971,0.3333333333333333,3,98795.8
513500.SH,-0.015545999999999912,0.5,2,98445.40000000001
510300.SH,-0.03893399999999994,0.0,1,96106.6
510500.SH,-0.04173,0.0,1,95827.0
512400.SH,-0.04323614285714284,0.4,5,95676.38571428572
588000.SH,-0.04828774999999994,0.0,1,95171.225
159915.SZ,-0.07207425000000003,0.0,1,92792.575
512480.SH,-0.07322400000000008,0.0,1,92677.59999999999
515070.SH,-0.08249385714285716,0.0,2,91750.61428571428
