Date,Code,Name,Close,PctChg,AI_Score,Market,Threshold,Signal,Desc
20260123,515070.SH,人工智能ETF,2.121,-0.38%,0.674,Bull,0.45,BUY,Buy ✅
20260123,515030.SH,新能源车ETF,1.969,2.45%,0.664,Bull,0.45,BUY,Buy ✅
20260123,588000.SH,科创50ETF,1.635,0.80%,0.637,Bull,0.45,BUY,Buy ✅
20260123,159326.SZ,电网设备ETF,1.772,0.85%,0.628,Bull,0.45,BUY,Buy ✅
20260123,512660.SH,军工ETF,1.574,3.15%,0.624,Bull,0.45,BUY,Buy ✅
20260123,512690.SH,酒ETF,0.527,-0.38%,0.585,Bull,0.45,BUY,Weak Buy ⚠️
20260123,159939.SZ,信息技术ETF,0.994,0.20%,0.584,Bull,0.45,BUY,Weak Buy ⚠️
20260123,512480.SH,半导体ETF,1.738,0.17%,0.563,Bull,0.45,BUY,Weak Buy ⚠️
20260123,512400.SH,有色金属ETF,2.293,2.55%,0.544,Bull,0.45,BUY,Weak Buy ⚠️
20260123,159206.SZ,卫星ETF,2.131,10.02%,0.506,Bull,0.45,BUY,Weak Buy ⚠️
20260123,510500.SH,中证500ETF,8.719,2.95%,0.496,Bull,0.45,BUY,Weak Buy ⚠️
20260123,159915.SZ,创业板ETF,3.337,0.66%,0.473,Bull,0.45,BUY,Weak Buy ⚠️
20260123,510050.SH,上证50ETF,3.106,-0.80%,0.466,Bull,0.45,BUY,Weak Buy ⚠️
20260123,510300.SH,沪深300ETF,4.704,-0.49%,0.436,Bull,0.45,WAIT,Low Score ⚪
20260123,513500.SH,标普500ETF,2.434,-1.02%,0.415,Bull,0.45,WAIT,Low Score ⚪
20260123,518880.SH,黄金ETF,10.617,2.67%,0.364,Bull,0.45,WAIT,Low Score ⚪
20260122,515070.SH,人工智能ETF,2.129,1.62%,0.665,Bull,0.45,BUY,Buy ✅
20260122,515030.SH,新能源车ETF,1.922,-0.98%,0.655,Bull,0.45,BUY,Buy ✅
20260122,588000.SH,科创50ETF,1.622,0.37%,0.632,Bull,0.45,BUY,Buy ✅
20260122,159326.SZ,电网设备ETF,1.757,-1.24%,0.628,Bull,0.45,BUY,Buy ✅
20260122,512660.SH,军工ETF,1.526,3.18%,0.619,Bull,0.45,BUY,Buy ✅
20260122,512690.SH,酒ETF,0.529,-0.38%,0.585,Bull,0.45,BUY,Weak Buy ⚠️
20260122,159939.SZ,信息技术ETF,0.992,0.20%,0.584,Bull,0.45,BUY,Weak Buy ⚠️
20260122,159206.SZ,卫星ETF,1.937,3.42%,0.571,Bull,0.45,BUY,Weak Buy ⚠️
20260122,512480.SH,半导体ETF,1.735,-0.63%,0.563,Bull,0.45,BUY,Weak Buy ⚠️
20260122,512400.SH,有色金属ETF,2.236,-0.75%,0.544,Bull,0.45,BUY,Weak Buy ⚠️
20260122,159915.SZ,创业板ETF,3.315,1.04%,0.536,Bull,0.45,BUY,Weak Buy ⚠️
20260122,510500.SH,中证500ETF,8.469,0.44%,0.514,Bull,0.45,BUY,Weak Buy ⚠️
20260122,510300.SH,沪深300ETF,4.727,-0.06%,0.465,Bull,0.45,BUY,Weak Buy ⚠️
20260122,510050.SH,上证50ETF,3.131,-0.45%,0.426,Bull,0.45,WAIT,Low Score ⚪
20260122,518880.SH,黄金ETF,10.341,-0.35%,0.385,Bull,0.45,WAIT,Low Score ⚪
20260122,513500.SH,标普500ETF,2.459,1.32%,0.344,Bull,0.45,WAIT,Low Score ⚪
20260121,515070.SH,人工智能ETF,2.095,2.00%,0.674,Bull,0.45,BUY,Buy ✅
20260121,515030.SH,新能源车ETF,1.941,1.52%,0.664,Bull,0.45,BUY,Buy ✅
20260121,159326.SZ,电网设备ETF,1.779,-1.17%,0.649,Bull,0.45,BUY,Buy ✅
20260121,588000.SH,科创50ETF,1.616,3.59%,0.632,Bull,0.45,BUY,Buy ✅
20260121,159206.SZ,卫星ETF,1.873,-1.16%,0.619,Bull,0.45,BUY,Buy ✅
20260121,512660.SH,军工ETF,1.479,0.14%,0.619,Bull,0.45,BUY,Buy ✅
20260121,159939.SZ,信息技术ETF,0.99,2.59%,0.584,Bull,0.45,BUY,Weak Buy ⚠️
20260121,512480.SH,半导体ETF,1.746,3.81%,0.576,Bull,0.45,BUY,Weak Buy ⚠️
20260121,512690.SH,酒ETF,0.531,-1.67%,0.569,Bull,0.45,BUY,Weak Buy ⚠️
20260121,512400.SH,有色金属ETF,2.253,3.16%,0.544,Bull,0.45,BUY,Weak Buy ⚠️
20260121,159915.SZ,创业板ETF,3.281,0.55%,0.536,Bull,0.45,BUY,Weak Buy ⚠️
20260121,510500.SH,中证500ETF,8.432,1.30%,0.518,Bull,0.45,BUY,Weak Buy ⚠️
20260121,510300.SH,沪深300ETF,4.73,0.13%,0.456,Bull,0.45,BUY,Weak Buy ⚠️
20260121,510050.SH,上证50ETF,3.145,-0.16%,0.426,Bull,0.45,WAIT,Low Score ⚪
20260121,513500.SH,标普500ETF,2.427,-0.21%,0.425,Bull,0.45,WAIT,Low Score ⚪
20260121,518880.SH,黄金ETF,10.377,2.93%,0.385,Bull,0.45,WAIT,Low Score ⚪
20260120,515070.SH,人工智能ETF,2.054,-2.19%,0.691,Bull,0.45,BUY,Buy ✅
20260120,515030.SH,新能源车ETF,1.912,-1.39%,0.664,Bull,0.45,BUY,Buy ✅
20260120,159326.SZ,电网设备ETF,1.8,-1.10%,0.648,Bull,0.45,BUY,Buy ✅
20260120,588000.SH,科创50ETF,1.56,-1.64%,0.641,Bull,0.45,BUY,Buy ✅
20260120,512480.SH,半导体ETF,1.682,-0.71%,0.637,Bull,0.45,BUY,Buy ✅
20260120,159939.SZ,信息技术ETF,0.965,-1.53%,0.594,Bull,0.45,BUY,Weak Buy ⚠️
20260120,512660.SH,军工ETF,1.477,-3.21%,0.592,Bull,0.45,BUY,Weak Buy ⚠️
